동,연도,월,전체,남자,여자,아동전체,아동남자,아동여자,청소년전체,청소년남자,청소년여자,청년전체,청년남자,청년여자
월계1동,2023,1,20870.0,10730.0,10140.0,2172.0,1138.0,1034.0,3584.0,1978.0,1606.0,5064.0,2907.0,2157.0
월계1동,2023,2,20910.0,10765.0,10145.0,2147.0,1126.0,1021.0,3682.0,2043.0,1639.0,5107.0,2934.0,2173.0
월계1동,2023,3,20886.0,10735.0,10151.0,2124.0,1118.0,1006.0,3705.0,2048.0,1657.0,5132.0,2938.0,2194.0
월계1동,2023,4,20842.0,10710.0,10132.0,2107.0,1112.0,995.0,3679.0,2027.0,1652.0,5120.0,2924.0,2196.0
월계1동,2023,5,20822.0,10691.0,10131.0,2097.0,1107.0,990.0,3662.0,2008.0,1654.0,5126.0,2923.0,2203.0
월계1동,2023,6,20799.0,10663.0,10136.0,2076.0,1096.0,980.0,3648.0,1988.0,1660.0,5136.0,2920.0,2216.0
월계1동,2023,7,20742.0,10610.0,10132.0,2062.0,1091.0,971.0,3617.0,1961.0,1656.0,5110.0,2884.0,2226.0
월계1동,2023,8,20724.0,10613.0,10111.0,2045.0,1088.0,957.0,3638.0,1981.0,1657.0,5132.0,2907.0,2225.0
월계1동,2023,9,20702.0,10596.0,10106.0,2026.0,1079.0,947.0,3627.0,1977.0,1650.0,5122.0,2895.0,2227.0
월계1동,2023,10,20623.0,10566.0,10057.0,2007.0,1071.0,936.0,3600.0,1953.0,1647.0,5090.0,2881.0,2209.0
월계1동,2023,11,20588.0,10552.0,10036.0,1985.0,1060.0,925.0,3584.0,1946.0,1638.0,5099.0,2882.0,2217.0
월계1동,2023,12,20551.0,10543.0,10008.0,1984.0,1058.0,926.0,3575.0,1948.0,1627.0,5086.0,2887.0,2199.0
월계1동,2024,1,20454.0,10502.0,9952.0,1970.0,1050.0,920.0,3551.0,1953.0,1598.0,5042.0,2873.0,2169.0
월계1동,2024,2,20508.0,10540.0,9968.0,1959.0,1042.0,917.0,3662.0,2023.0,1639.0,5086.0,2903.0,2183.0
월계1동,2024,3,20497.0,10531.0,9966.0,1945.0,1034.0,911.0,3690.0,2039.0,1651.0,5093.0,2903.0,2190.0
월계1동,2024,4,20449.0,10511.0,9938.0,1938.0,1029.0,909.0,3672.0,2032.0,1640.0,5070.0,2895.0,2175.0
월계1동,2024,5,20410.0,10497.0,9913.0,1921.0,1018.0,903.0,3638.0,2014.0,1624.0,5090.0,2909.0,2181.0
월계1동,2024,6,20389.0,10472.0,9917.0,1920.0,1010.0,910.0,3619.0,1992.0,1627.0,5079.0,2898.0,2181.0
월계1동,2024,7,20358.0,10466.0,9892.0,1906.0,1008.0,898.0,3594.0,1981.0,1613.0,5064.0,2894.0,2170.0
